contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax52_tuned,U,U,patient_meanmax52_tuned,E,U,0.2350000000000001,0.009937500000000012,0.45756249999999965
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax52_tuned,E,E,patient_meanmax52_tuned,U,E,0.04749999999999993,-0.1875,0.2825
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,dl_mean,E,U,dl_mean,E,E,-0.05249999999999999,-0.20500000000000002,0.09499999999999997
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,dl_mean,U,U,dl_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,dl_mean,E,E,dl_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,dl_max,E,U,dl_max,E,E,-0.10500000000000004,-0.2525,0.04249999999999998
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,dl_max,U,U,dl_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,dl_max,E,E,dl_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,secmi_mean,E,U,secmi_mean,E,E,0.05999999999999994,-0.1350625,0.27756249999999966
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,secmi_mean,U,U,secmi_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,secmi_mean,E,E,secmi_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,secmi_max,E,U,secmi_max,E,E,0.07250000000000012,-0.10256250000000003,0.2775
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,secmi_max,U,U,secmi_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,secmi_max,E,E,secmi_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,pia_mean,E,U,pia_mean,E,E,-0.030000000000000027,-0.19500000000000006,0.14
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,pia_mean,U,U,pia_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,pia_mean,E,E,pia_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,pia_max,E,U,pia_max,E,E,-0.0025000000000000022,-0.17250000000000004,0.16499999999999998
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,pia_max,U,U,pia_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fit_advantage_on_E,predeclared_cross_cell,pia_max,E,E,pia_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,pian_mean,E,U,pian_mean,E,E,0.07499999999999996,-0.10999999999999999,0.2725
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,pian_mean,U,U,pian_mean,E,U,0.0,0.0,0.0
